Date,Price,Open,High,Low,Vol.,Change %
10/23/2011,2473.41 ,2322.02 ,2483.76 ,2307.15 ,46.17B,6.74%
10/16/2011,2317.28 ,2434.49 ,2452.99 ,2313.78 ,31.02B,-4.69%
10/09/2011,2431.37 ,2363.08 ,2439.64 ,2318.63 ,34.58B,3.06%
09/25/2011,2359.22 ,2416.23 ,2441.73 ,2348.22 ,27.64B,-3.04%
09/18/2011,2433.16 ,2469.60 ,2517.67 ,2400.14 ,32.37B,-1.98%
09/11/2011,2482.34 ,2467.73 ,2499.48 ,2439.37 ,20.80B,-0.62%
09/04/2011,2497.75 ,2510.10 ,2528.42 ,2459.54 ,27.04B,-1.21%
08/28/2011,2528.28 ,2595.47 ,2615.14 ,2517.62 ,32.05B,-3.21%
08/21/2011,2612.19 ,2534.57 ,2616.64 ,2507.78 ,37.00B,3.07%
08/14/2011,2534.36 ,2598.14 ,2636.36 ,2513.75 ,38.56B,-2.27%
08/07/2011,2593.17 ,2599.29 ,2614.19 ,2437.68 ,50.72B,-1.27%
07/31/2011,2626.42 ,2697.57 ,2712.89 ,2605.14 ,33.04B,-2.79%
07/24/2011,2701.73 ,2759.63 ,2759.63 ,2677.12 ,41.85B,-2.49%
07/17/2011,2770.79 ,2821.36 ,2826.96 ,2763.42 ,43.69B,-1.75%
07/10/2011,2820.17 ,2789.45 ,2821.34 ,2752.19 ,48.66B,0.80%
07/03/2011,2797.77 ,2770.94 ,2825.12 ,2770.94 ,53.79B,1.39%
06/26/2011,2759.36 ,2746.79 ,2778.67 ,2727.25 ,46.11B,0.48%
06/19/2011,2746.21 ,2635.83 ,2759.71 ,2610.99 ,38.27B,3.91%
06/12/2011,2642.82 ,2687.65 ,2735.55 ,2641.39 ,35.64B,-2.30%
06/05/2011,2705.14 ,2720.97 ,2754.12 ,2672.32 ,29.62B,-0.84%
05/29/2011,2728.02 ,2704.48 ,2744.93 ,2676.54 ,35.56B,0.67%
05/22/2011,2709.95 ,2853.29 ,2853.29 ,2708.55 ,40.91B,-5.20%
05/15/2011,2858.46 ,2864.38 ,2884.14 ,2821.20 ,40.40B,-0.44%
05/08/2011,2871.03 ,2868.24 ,2897.14 ,2832.25 ,44.88B,0.25%
05/01/2011,2863.89 ,2911.51 ,2933.46 ,2834.46 ,39.00B,-1.64%
04/24/2011,2911.51 ,3003.03 ,3003.61 ,2871.01 ,51.07B,-3.29%
04/17/2011,3010.52 ,3040.53 ,3067.46 ,2992.67 ,63.92B,-1.31%
04/10/2011,3050.53 ,3037.91 ,3062.53 ,2994.47 ,67.94B,0.68%
04/03/2011,3030.02 ,2964.21 ,3031.10 ,2963.90 ,38.07B,2.11%
03/27/2011,2967.41 ,2985.36 ,3005.78 ,2914.38 ,65.98B,-0.35%
03/20/2011,2977.81 ,2913.91 ,2985.08 ,2884.75 ,54.98B,2.44%
03/13/2011,2906.89 ,2923.98 ,2939.65 ,2850.94 ,64.11B,-0.92%
03/06/2011,2933.80 ,2952.72 ,3012.04 ,2927.68 ,65.14B,-0.29%
02/27/2011,2942.31 ,2880.17 ,2944.46 ,2861.82 ,65.75B,2.21%
02/20/2011,2878.57 ,2886.54 ,2944.41 ,2839.20 ,59.28B,-0.73%
02/13/2011,2899.79 ,2828.57 ,2939.28 ,2828.57 ,67.87B,2.56%
02/06/2011,2827.33 ,2778.70 ,2835.41 ,2760.18 ,29.29B,1.01%
01/30/2011,2798.96 ,2751.53 ,2805.05 ,2748.54 ,16.49B,1.68%
01/23/2011,2752.75 ,2716.52 ,2759.44 ,2661.45 ,40.92B,1.38%
01/16/2011,2715.29 ,2772.45 ,2780.94 ,2667.29 ,41.31B,-2.72%
01/09/2011,2791.34 ,2832.62 ,2847.36 ,2770.34 ,40.22B,-1.67%
01/02/2011,2838.80 ,2825.33 ,2868.01 ,2807.87 ,41.23B,1.09%
12/26/2010,2808.08 ,2842.81 ,2876.81 ,2721.48 ,40.26B,-0.96%
12/19/2010,2835.16 ,2901.47 ,2917.20 ,2804.56 ,48.91B,-2.02%
12/12/2010,2893.74 ,2850.33 ,2939.05 ,2847.66 ,52.06B,1.85%
12/05/2010,2841.04 ,2850.38 ,2884.53 ,2792.52 ,43.84B,-0.05%
11/28/2010,2842.43 ,2861.15 ,2881.16 ,2758.92 ,51.08B,-1.02%
11/21/2010,2871.70 ,2861.61 ,2904.97 ,2791.58 ,60.21B,-0.58%
11/14/2010,2888.57 ,2984.87 ,3016.13 ,2806.64 ,67.40B,-3.24%
11/07/2010,2985.43 ,3140.40 ,3186.72 ,2975.16 ,102.63B,-4.60%
10/31/2010,3129.50 ,2986.89 ,3142.59 ,2986.89 ,98.99B,5.06%
10/24/2010,2978.83 ,2979.71 ,3073.38 ,2955.48 ,85.78B,0.13%
10/17/2010,2975.04 ,2985.46 ,3041.15 ,2931.91 ,95.03B,0.13%
10/10/2010,2971.16 ,2755.03 ,2971.16 ,2755.03 ,102.63B,8.49%
10/03/2010,2738.74 ,2681.25 ,2747.80 ,2677.99 ,13.58B,3.13%
09/26/2010,2655.66 ,2600.54 ,2656.00 ,2597.14 ,34.82B,2.47%
09/19/2010,2591.55 ,2601.48 ,2607.35 ,2573.63 ,13.76B,-0.27%
09/12/2010,2598.69 ,2665.66 ,2703.78 ,2583.34 ,56.28B,-2.42%
09/05/2010,2663.21 ,2667.20 ,2704.93 ,2628.83 ,61.60B,0.29%
08/29/2010,2655.39 ,2622.27 ,2662.88 ,2604.49 ,60.21B,1.71%
08/22/2010,2610.74 ,2637.82 ,2667.17 ,2588.64 ,45.59B,-1.19%
08/15/2010,2642.31 ,2603.79 ,2701.93 ,2596.77 ,62.94B,1.37%
08/08/2010,2606.70 ,2656.36 ,2676.09 ,2564.84 ,51.54B,-1.94%
08/01/2010,2658.39 ,2635.81 ,2681.78 ,2589.99 ,58.75B,0.79%
07/25/2010,2637.50 ,2576.37 ,2656.41 ,2556.47 ,54.28B,2.55%
07/18/2010,2572.03 ,2399.58 ,2579.52 ,2392.27 ,54.20B,6.10%
07/11/2010,2424.27 ,2468.54 ,2501.02 ,2389.07 ,39.85B,-1.89%
07/04/2010,2470.92 ,2358.76 ,2485.60 ,2335.57 ,30.58B,3.69%
06/27/2010,2382.90 ,2550.65 ,2561.49 ,2319.74 ,29.05B,-6.66%
06/20/2010,2552.82 ,2517.29 ,2598.35 ,2504.32 ,29.99B,1.58%
06/13/2010,2513.22 ,2588.97 ,2595.51 ,2505.33 ,12.22B,-2.21%
06/06/2010,2569.94 ,2508.33 ,2590.98 ,2491.65 ,36.59B,0.64%
05/30/2010,2553.59 ,2647.87 ,2665.39 ,2521.06 ,34.43B,-3.85%
05/23/2010,2655.77 ,2596.32 ,2686.54 ,2583.55 ,44.93B,2.80%
05/16/2010,2583.52 ,2663.88 ,2663.88 ,2481.97 ,38.71B,-4.19%
05/09/2010,2696.63 ,2690.86 ,2751.07 ,2604.20 ,40.87B,0.31%
05/02/2010,2688.38 ,2821.35 ,2862.55 ,2665.81 ,34.61B,-6.35%
04/25/2010,2870.61 ,2988.08 ,2996.83 ,2820.95 ,45.92B,-3.79%
04/18/2010,2983.54 ,3096.78 ,3096.78 ,2941.35 ,57.26B,-4.69%
04/11/2010,3130.30 ,3151.89 ,3181.66 ,3101.48 ,57.56B,-0.48%
04/04/2010,3145.35 ,3170.61 ,3177.97 ,3110.26 ,44.04B,-0.40%
03/28/2010,3157.96 ,3076.05 ,3159.60 ,3071.69 ,58.50B,3.21%
03/21/2010,3059.72 ,3069.66 ,3083.34 ,3009.91 ,46.19B,-0.26%
03/14/2010,3067.75 ,3010.72 ,3069.66 ,2963.44 ,39.03B,1.80%
03/07/2010,3013.41 ,3036.41 ,3085.99 ,3011.97 ,40.93B,-0.58%
02/28/2010,3031.07 ,3057.01 ,3102.40 ,3011.09 ,55.22B,-0.68%
02/21/2010,3051.94 ,3016.70 ,3067.53 ,2938.75 ,46.28B,1.12%
02/07/2010,3018.13 ,2936.45 ,3018.86 ,2922.19 ,29.39B,2.68%
